Testkonfiguration;Iteration;Agent 1;Agent 2;Agent 3;Agent 4;Agent 5;Gesamtkosten;Vorgabe des Mediators
ph1in01st1de1mh0ms0btlneck.req;1;68.62;16.0;1074.63;171.38;168.75;1499.38;101001001001101001111011111111111111110000000000110100111101
ph1in01st1de1mh0ms0btlneck.req;2;40.07;45.95;1073.12;171.38;168.75;1499.27;101010110101111000101111111111111111110000000000111001010001
ph1in01st1de1mh0ms0high.req;1;66.79;72.82;24.0;60.0;150.0;373.61;101010010100100011110011100010011001110011011111100111110011
ph1in01st1de1mh0ms0high.req;2;49.77;59.39;57.27;60.0;150.0;376.43;101001010101101111001100100001000100101101011100110111001100
ph1in01st1de1mh0ms0low.req;1;437.92;260.27;353.7;614.27;1290.25;2956.41;111111111111111111111111111111111111111111111111111111111111
ph1in01st1de1mh0ms0low.req;2;437.92;260.27;353.7;614.27;1290.25;2956.41;111111111111111111111111111111111111111111111111111111111111
ph1in01st1de1mh0ms0rand.req;1;23.85;46.37;496.48;297.35;551.0;1415.05;111110111101111101111111111111111111111010010010111011111110
ph1in01st1de1mh0ms0rand.req;2;23.85;46.37;496.48;291.02;551.0;1408.72;111110111101111100111101111111111111110110010100111111110110
ph1in02st2de1mh0ms0btlneck.req;1;129.13;40.0;2155.7;251.25;251.25;2827.33;101001001001101001001001111111111111110000000000110000000000
ph1in02st2de1mh0ms0btlneck.req;2;125.81;40.0;2158.45;251.25;251.25;2826.76;100100101001100100111111111111111111110000000000110000000000
ph1in02st2de1mh0ms0high.req;1;119.15;138.95;60.0;150.0;150.0;618.1;101001010100111000010001101110111001101011110110101001110011
ph1in02st2de1mh0ms0high.req;2;135.79;123.82;60.0;150.0;150.0;619.61;101001011000101000110110101001010001101010110110111000110001
ph1in02st2de1mh0ms0low.req;1;816.3;523.4;768.55;1290.25;1290.25;4688.75;111111111111111111111111111111111111111111111111111111111111
ph1in02st2de1mh0ms0low.req;2;816.3;523.4;768.55;1290.25;1290.25;4688.75;111111111111111111111111111111111111111111111111111111111111
ph1in02st2de1mh0ms0rand.req;1;158.87;125.67;459.04;828.3;737.3;2309.18;111111111111111111111111111111111111111111111111111111111101
ph1in02st2de1mh0ms0rand.req;2;158.87;125.67;459.04;828.3;737.3;2309.18;111111111111111111111111111111111111111111111111111111110111
ph1in03st3de1mh0ms0btlneck.req;1;211.6;210.0;2141.95;251.25;251.25;3066.05;100100010101111101011100111111111111110000000000110000000000
ph1in03st3de1mh0ms0btlneck.req;2;176.4;215.0;2163.95;251.25;251.25;3057.85;101000101001101001111000111111111111110000000000110000000000
ph1in03st3de1mh0ms0high.req;1;336.4;150.0;60.0;150.0;150.0;846.4;100010010000101010110101110011011011110010010011101110010110
ph1in03st3de1mh0ms0high.req;2;340.8;150.0;60.0;150.0;150.0;850.8;100100001000110111001111100110011011110101001100111100111001
ph1in03st3de1mh0ms0low.req;1;1166.08;1290.25;768.55;1290.25;1290.25;5805.38;111111111111111111111111111111111111111111111111111111111111
ph1in03st3de1mh0ms0low.req;2;1166.08;1290.25;768.55;1290.25;1290.25;5805.38;111111111111111111111111111111111111111111111111111111111111
ph1in03st3de1mh0ms0rand.req;1;115.71;1040.05;244.95;558.8;896.9;2856.41;111111111111111111111111111111111111111110111111111111111111
ph1in03st3de1mh0ms0rand.req;2;115.71;1040.05;244.95;558.1;896.9;2855.71;111111111111111111111111111111111111111111111101111111111111
ph1in04st4de1mh0ms0btlneck.req;1;292.5;210.0;2492.25;210.0;210.0;3414.75;101000100101111010100100111111111111111101110100101010101100
ph1in04st4de1mh0ms0btlneck.req;2;263.0;236.25;2503.5;236.25;221.25;3460.25;101000111001101000010001111111111111101000010011111111101000
ph1in04st4de1mh0ms0high.req;1;439.5;150.0;150.0;150.0;150.0;1039.5;101000010000101101111001101011011100111011011001111010111011
ph1in04st4de1mh0ms0high.req;2;428.5;150.0;150.0;150.0;150.0;1028.5;100100010000111110010000110111110000110110010100110101110011
ph1in04st4de1mh0ms0low.req;1;1687.6;1290.25;1290.25;1290.25;1290.25;6848.6;111111111111111111111111111111111111111111111111111111111111
ph1in04st4de1mh0ms0low.req;2;1687.6;1290.25;1290.25;1290.25;1290.25;6848.6;111111111111111111111111111111111111111111111111111111111111
ph1in04st4de1mh0ms0rand.req;1;235.4;1352.15;564.75;436.15;507.0;3095.45;111110111111111111111111111111011111111011011010111111111110
ph1in04st4de1mh0ms0rand.req;2;255.0;1347.15;559.25;439.15;500.0;3100.55;111110111101111111111111111111111101111100111011111111111111
ph1in05st1de2mh0ms0btlneck.req;1;40.07;45.95;1072.52;171.38;168.75;1498.67;101011011001101001001001111111111111110000000000110101100101
ph1in05st1de2mh0ms0btlneck.req;2;44.1;42.95;1071.91;171.38;168.75;1499.09;100110110101110101100101111111111111110000000000110011000100
ph1in05st1de2mh0ms0high.req;1;33.12;92.79;24.0;60.0;150.0;359.91;101010110101100010010000111010010100100011111001111110010000
ph1in05st1de2mh0ms0high.req;2;46.48;79.48;24.0;60.0;150.0;359.96;101010110100100110010001101110110011100010010101110111110101
ph1in05st1de2mh0ms0low.req;1;437.19;260.27;353.7;614.27;1290.25;2955.68;111111111111111111111111111111111111111111111111111111111111
ph1in05st1de2mh0ms0low.req;2;437.19;260.27;353.7;614.27;1290.25;2955.68;111111111111111111111111111111111111111111111111111111111111
ph1in05st1de2mh0ms0rand.req;1;84.83;52.72;113.03;201.53;410.85;862.96;111111111111111111111111111101101110111011110101111111110101
ph1in05st1de2mh0ms0rand.req;2;84.83;62.23;102.4;206.91;436.9;893.27;111111111111111111111110111110111110110111010101111011101011
ph1in06st2de2mh0ms0btlneck.req;1;125.81;40.0;2157.35;251.25;251.25;2825.66;100010101001101010111011111111111111110000000000110000000000
ph1in06st2de2mh0ms0btlneck.req;2;153.09;40.0;2134.8;251.25;251.25;2830.39;100010010011110111011011111111111111110000000000110000000000
ph1in06st2de2mh0ms0high.req;1;89.08;157.1;60.0;150.0;150.0;606.18;101010101001100110011000100011011100100111101100110011111110
ph1in06st2de2mh0ms0high.req;2;123.15;138.95;60.0;150.0;150.0;622.1;100101010100100100010001101100011001111111011001100100110011
ph1in06st2de2mh0ms0low.req;1;814.97;523.4;768.55;1290.25;1290.25;4687.42;111111111111111111111111111111111111111111111111111111111111
ph1in06st2de2mh0ms0low.req;2;814.97;523.4;768.55;1290.25;1290.25;4687.42;111111111111111111111111111111111111111111111111111111111111
ph1in06st2de2mh0ms0rand.req;1;59.44;117.05;726.94;713.35;668.35;2285.13;111111111111101111111111111111111111111101101101111011010110
ph1in06st2de2mh0ms0rand.req;2;59.44;138.71;706.59;710.4;673.05;2288.19;111111111111111011111111111111111111111101110110111011100110
ph1in07st3de2mh0ms0btlneck.req;1;194.0;215.0;2151.85;251.25;251.25;3063.35;101001001001101111111000111111111111110000000000110000000000
ph1in07st3de2mh0ms0btlneck.req;2;202.8;215.0;2146.35;251.25;251.25;3066.65;101000101001101011111000111111111111110000000000110000000000
ph1in07st3de2mh0ms0high.req;1;317.04;150.0;60.0;150.0;150.0;827.04;100001000100101101111111100111011101101001101100101011100110
ph1in07st3de2mh0ms0high.req;2;310.0;150.0;60.0;150.0;150.0;820.0;100010001000101111111001111110101000110010001000110011101111
ph1in07st3de2mh0ms0low.req;1;1164.32;1290.25;768.55;1290.25;1290.25;5803.62;111111111111111111111111111111111111111111111111111111111111
ph1in07st3de2mh0ms0low.req;2;1164.32;1290.25;768.55;1290.25;1290.25;5803.62;111111111111111111111111111111111111111111111111111111111111
ph1in07st3de2mh0ms0rand.req;1;147.65;533.95;252.67;422.6;1193.4;2550.27;111111111111101111110110111011111101111010111011111111111111
ph1in07st3de2mh0ms0rand.req;2;147.65;537.85;265.21;421.9;1173.3;2545.91;111111111111101111110101111011110111111011100110111111111111
ph1in08st4de2mh0ms0btlneck.req;1;367.1;200.0;2525.5;200.0;200.0;3492.6;100100010010110111011110111111111111100110110111111110010011
ph1in08st4de2mh0ms0btlneck.req;2;415.5;165.0;2514.5;165.0;165.0;3425.0;100010001010100011101000111111111110100010001001110111001000
ph1in08st4de2mh0ms0high.req;1;407.6;150.0;150.0;150.0;150.0;1007.6;100010010000101110110010111111011110100010010011110111110010
ph1in08st4de2mh0ms0high.req;2;417.5;150.0;150.0;150.0;150.0;1017.5;100010001000100110011100101010001000101110111101101110001100
ph1in08st4de2mh0ms0low.req;1;1685.4;1290.25;1290.25;1290.25;1290.25;6846.4;111111111111111111111111111111111111111111111111111111111111
ph1in08st4de2mh0ms0low.req;2;1685.4;1290.25;1398.5;1333.0;1290.25;6997.4;111111111111111111111111001111011111111111011111111111111111
ph1in08st4de2mh0ms0rand.req;1;402.56;485.0;476.65;434.1;1338.55;3136.86;111111111111110101101110111011011010101101011010111111111111
ph1in08st4de2mh0ms0rand.req;2;402.56;490.25;504.7;435.7;1338.55;3171.76;111111111111111011010110110111110001101011010101111111111111
ph1in09st1de3mh0ms0btlneck.req;1;43.73;47.41;1097.63;171.38;168.75;1528.9;101011100101100101111101111111111111110000000000111010011111
ph1in09st1de3mh0ms0btlneck.req;2;43.73;16.0;1129.09;171.38;168.75;1528.95;101011100101111000101101111111111111110000000000111111011010
ph1in09st1de3mh0ms0high.req;1;37.51;62.51;24.0;60.0;150.0;334.02;101011100110100001110100110101101110101010110111100001101101
ph1in09st1de3mh0ms0high.req;2;37.51;62.51;24.0;60.0;150.0;334.02;101011100110100110110101111101101110110000111111101100101101
ph1in09st1de3mh0ms0low.req;1;478.92;260.27;353.7;614.27;1290.25;2997.41;111111111111111111111111111111111111111111111111111111111111
ph1in09st1de3mh0ms0low.req;2;478.92;260.27;353.7;614.27;1290.25;2997.41;111111111111111111111111111111111111111111111111111111111111
ph1in09st1de3mh0ms0rand.req;1;443.45;132.44;140.27;373.44;1157.6;2247.2;111111111111110111011010111101011111111101011101111111111101
ph1in09st1de3mh0ms0rand.req;2;443.45;134.56;136.52;374.22;1169.95;2258.7;111111111111111010101010111010111011111110110010111111110111
ph1in10st2de3mh0ms0btlneck.req;1;97.73;116.7;2168.9;251.25;251.25;2885.83;110000101011101011111001111111111111110000000000110000000000
ph1in10st2de3mh0ms0btlneck.req;2;142.44;73.14;2168.9;251.25;251.25;2886.98;110011101001100111111101111111111111110000000000110000000000
ph1in10st2de3mh0ms0high.req;1;96.53;98.41;60.0;150.0;150.0;554.94;110010100110101111100100100001101101111000100100101000111110
ph1in10st2de3mh0ms0high.req;2;72.57;120.19;60.0;150.0;150.0;552.76;101011100110100011100100100011101101101100110100101010111101
ph1in10st2de3mh0ms0low.req;1;890.83;523.4;768.55;1290.25;1290.25;4763.28;111111111111111111111111111111111111111111111111111111111111
ph1in10st2de3mh0ms0low.req;2;890.83;523.4;768.55;1290.25;1290.25;4763.28;111111111111111111111111111111111111111111111111111111111111
ph1in10st2de3mh0ms0rand.req;1;50.63;158.79;448.5;538.05;586.4;1782.37;111101110111111111011111111111111111111010110110111101101110
ph1in10st2de3mh0ms0rand.req;2;50.63;171.49;436.95;539.55;596.8;1795.42;111111110111111111101111111111111111111011011010111111001110
ph1in11st3de3mh0ms0btlneck.req;1;129.76;185.5;2254.7;251.25;251.25;3072.46;101010100101100101101100111111111111110000000000110000000000
ph1in11st3de3mh0ms0btlneck.req;2;213.28;159.5;2197.5;251.25;251.25;3072.78;100011100101111111111100111111111111110000000000110000000000
ph1in11st3de3mh0ms0high.req;1;238.72;150.0;60.0;150.0;150.0;748.72;100001100100101011101111101100110100111101101111100011100101
ph1in11st3de3mh0ms0high.req;2;243.12;150.0;60.0;150.0;150.0;753.12;100010100010110011110010111100101011100110100010110000100110
ph1in11st3de3mh0ms0low.req;1;1264.64;1290.25;768.55;1290.25;1290.25;5903.94;111111111111111111111111111111111111111111111111111111111111
ph1in11st3de3mh0ms0low.req;2;1264.64;1290.25;768.55;1290.25;1290.25;5903.94;111111111111111111111111111111111111111111111111111111111111
ph1in11st3de3mh0ms0rand.req;1;1264.64;1192.5;389.2;574.2;505.0;3925.54;111111111111111111111101111010101000111100110111101110111000
ph1in11st3de3mh0ms0rand.req;2;1264.64;1194.75;358.95;565.15;511.25;3894.74;111111111111111111111011111001010100111001100101101111110101
ph1in12st4de3mh0ms0btlneck.req;1;328.4;150.0;2613.5;150.0;150.0;3391.9;100010100100110101111110111111111110100010110111100001111111
ph1in12st4de3mh0ms0btlneck.req;2;306.6;159.5;2512.5;159.5;159.5;3297.6;100011100101100100110100111111111111110100101100100110101100
ph1in12st4de3mh0ms0high.req;1;328.4;150.0;150.0;150.0;150.0;928.4;100010100100101110101100101110110101101001100100100001101100
ph1in12st4de3mh0ms0high.req;2;333.9;150.0;150.0;150.0;150.0;933.9;100011100010100110110010101100100010111000100110101101110111
ph1in12st4de3mh0ms0low.req;1;1810.8;1290.25;1290.25;1290.25;1290.25;6971.8;111111111111111111111111111111111111111111111111111111111111
ph1in12st4de3mh0ms0low.req;2;1810.8;1418.5;1328.0;1473.75;1391.0;7422.05;111111111111101110111011111101111111110011101110001011111111
ph1in12st4de3mh0ms0rand.req;1;264.48;1136.3;450.0;490.95;1292.8;3634.53;111100110111111111111111111110110111111101101110111111111111
ph1in12st4de3mh0ms0rand.req;2;264.48;1136.3;450.0;478.55;1292.8;3622.13;111100110111111111111111111111111111111100111110111111111111
ph1in13st1de4mh0ms0btlneck.req;1;32.57;42.62;1081.59;171.38;168.75;1496.91;101010101111111110001101111111111111110000000000110010100101
ph1in13st1de4mh0ms0btlneck.req;2;27.08;34.97;1093.09;171.38;168.75;1495.27;101100101101101011110111111111111111110000000000110101000011
ph1in13st1de4mh0ms0high.req;1;37.51;73.49;24.0;60.0;150.0;345.0;100100101101101100001100111101010110101101010111110100000100
ph1in13st1de4mh0ms0high.req;2;62.59;49.53;24.0;60.0;150.0;346.12;100100100100110100001110101110001111110111010111111100110111
ph1in13st1de4mh0ms0low.req;1;438.29;260.27;353.7;614.27;1290.25;2956.78;111111111111111111111111111111111111111111111111111111111111
ph1in13st1de4mh0ms0low.req;2;438.29;260.27;353.7;614.27;1290.25;2956.78;111111111111111111111111111111111111111111111111111111111111
ph1in13st1de4mh0ms0rand.req;1;91.86;282.95;252.79;315.02;767.45;1710.07;111111111111111111111111111111111111111110101100111110111111
ph1in13st1de4mh0ms0rand.req;2;91.86;282.95;252.79;315.02;767.45;1710.07;111111111111111111111111111111111111111110101100111110111110
ph1in14st2de4mh0ms0btlneck.req;1;72.57;40.0;2203.0;251.25;251.25;2818.07;100100100111100101101111111111111111110000000000110000000000
ph1in14st2de4mh0ms0btlneck.req;2;72.57;97.34;2143.6;251.25;251.25;2816.01;100100101101101111100011111111111111110000000000110000000000
ph1in14st2de4mh0ms0high.req;1;64.45;178.88;60.0;150.0;150.0;603.33;101010101101100110001100100011000100110010001111111110001111
ph1in14st2de4mh0ms0high.req;2;72.57;140.16;60.0;150.0;150.0;572.73;100100100101101100011100111110010101110101110101101101101110
ph1in14st2de4mh0ms0low.req;1;816.96;523.4;768.55;1290.25;1290.25;4689.41;111111111111111111111111111111111111111111111111111111111111
ph1in14st2de4mh0ms0low.req;2;816.96;523.4;768.55;1290.25;1290.25;4689.41;111111111111111111111111111111111111111111111111111111111111
