Testkonfiguration;Iteration;Agent 1;Agent 2;Agent 3;Agent 4;Agent 5;Gesamtkosten;Vorgabe des Mediators
ph1in01st1de1mh0ms0btlneck.req;1;166.54;12.8;1733.48;120.5;200.5;2233.82;001010100000111011100010000100011010100000001000101011000000
ph1in01st1de1mh0ms0btlneck.req;2;37.51;122.61;1405.27;138.85;212.5;1916.74;011110110110110001001001111110001100101000000001100001011101
ph1in01st1de1mh0ms0high.req;1;38.97;124.73;24.0;60.0;150.0;397.7;111111101100000100001011100110101010101111011001100100111010
ph1in01st1de1mh0ms0high.req;2;17.74;277.46;30.35;60.0;150.0;535.55;111110111111110100000000011100100101111111111111111110101110
ph1in01st1de1mh0ms0low.req;1;482.21;297.21;423.88;647.55;1328.0;3178.85;101111111111111111111111001111111111110111111111111111011111
ph1in01st1de1mh0ms0low.req;2;482.21;303.86;402.4;644.8;1396.0;3229.27;101111111111111011111111111111110111111111111111011111010111
ph1in01st1de1mh0ms0rand.req;1;15.36;226.39;416.32;291.36;555.0;1504.43;111111111111010000101101111111111111110100110010111111111010
ph1in01st1de1mh0ms0rand.req;2;149.69;67.74;422.55;284.7;551.0;1475.68;111001101011011011101011111111111111110101010100110101110101
ph1in02st2de1mh0ms0btlneck.req;1;98.81;62.05;3641.8;200.5;200.5;4203.66;111111001001111101011001000000000000100001110101100000000000
ph1in02st2de1mh0ms0btlneck.req;2;102.26;571.19;2763.45;246.0;246.0;3928.9;110011010101000000000111100000011100100010010000100000010000
ph1in02st2de1mh0ms0high.req;1;82.04;216.52;76.5;150.0;150.0;675.06;111111001101111000101000101111011011101111111011101100011111
ph1in02st2de1mh0ms0high.req;2;245.85;24.0;60.0;150.0;150.0;629.85;100010001000100111101010110110101100110010111001101010101101
ph1in02st2de1mh0ms0low.req;1;890.17;523.4;929.15;1358.25;1373.25;5074.22;011111111111111111111111101110111111101111111011111110111110
ph1in02st2de1mh0ms0low.req;2;923.44;590.56;896.15;1488.75;1318.0;5216.9;111110111111111110111111011111111111111111100001111111111111
ph1in02st2de1mh0ms0rand.req;1;158.87;243.15;663.2;889.3;798.5;2753.02;111111111111000111111111100111111101100111111110101101111011
